year,capture.loc,date,total.fish,age,species,sex
1985,6,8/3/1985,2,1.1,coho,female
1985,6,8/3/1985,5,1.1,coho,male
1985,6,8/3/1985,9,2.1,coho,female
1985,6,8/3/1985,39,2.1,coho,male
1985,6,8/3/1985,1,3.1,coho,female
1985,6,8/3/1985,3,3.1,coho,male
1985,6,8/6/1985,1,1.1,coho,female
1985,6,8/6/1985,2,1.1,coho,male
1985,6,8/6/1985,12,2.1,coho,female
1985,6,8/6/1985,23,2.1,coho,male
1985,6,8/6/1985,1,3.1,coho,male
1985,6,8/7/1985,2,1.1,coho,female
1985,6,8/7/1985,5,1.1,coho,male
1985,6,8/7/1985,22,2.1,coho,female
1985,6,8/7/1985,21,2.1,coho,male
1985,6,8/7/1985,3,3.1,coho,female
1985,6,8/7/1985,2,3.1,coho,male
1985,6,8/13/1985,11,1.1,coho,female
1985,6,8/13/1985,12,1.1,coho,male
1985,6,8/13/1985,27,2.1,coho,female
1985,6,8/13/1985,38,2.1,coho,male
1985,6,8/13/1985,1,3.1,coho,female
1985,6,8/13/1985,2,3.1,coho,male
1986,6,8/1/1986,2,2.1,coho,female
1986,6,8/1/1986,35,2.1,coho,male
1986,6,8/1/1986,3,3.1,coho,male
1986,6,8/5/1986,1,1.1,coho,female
1986,6,8/5/1986,19,2.1,coho,female
1986,6,8/5/1986,21,2.1,coho,male
1986,6,8/5/1986,2,3.1,coho,female
1986,6,8/5/1986,2,3.1,coho,male
1986,6,8/8/1986,23,2.1,coho,female
1986,6,8/8/1986,28,2.1,coho,male
1986,6,8/8/1986,1,3.1,coho,female
1986,6,8/8/1986,1,3.1,coho,male
1986,6,8/12/1986,14,2.1,coho,female
1986,6,8/12/1986,14,2.1,coho,male
1986,6,8/15/1986,13,2.1,coho,female
1986,6,8/15/1986,13,2.1,coho,male
1986,6,8/15/1986,2,3.1,coho,female
1986,6,8/22/1986,11,2.1,coho,female
1986,6,8/22/1986,15,2.1,coho,male
1986,6,8/22/1986,2,3.1,coho,female
1986,6,8/22/1986,1,3.1,coho,male
1987,6,7/28/1987,1,1.1,coho,female
1987,6,7/28/1987,6,2.1,coho,female
1987,6,7/28/1987,23,2.1,coho,male
1987,6,7/28/1987,3,3.1,coho,female
1987,6,7/28/1987,9,3.1,coho,male
1987,6,8/8/1987,1,1.1,coho,female
1987,6,8/8/1987,20,2.1,coho,female
1987,6,8/8/1987,31,2.1,coho,male
1987,6,8/8/1987,9,3.1,coho,female
1987,6,8/8/1987,9,3.1,coho,male
1987,6,8/11/1987,1,1.1,coho,female
1987,6,8/11/1987,3,1.1,coho,male
1987,6,8/11/1987,13,2.1,coho,female
1987,6,8/11/1987,18,2.1,coho,male
1987,6,8/11/1987,18,3.1,coho,female
1987,6,8/11/1987,6,3.1,coho,male
1987,6,8/15/1987,2,1.1,coho,male
1987,6,8/15/1987,20,2.1,coho,female
1987,6,8/15/1987,14,2.1,coho,male
1987,6,8/15/1987,10,3.1,coho,female
1987,6,8/15/1987,3,3.1,coho,male
1987,6,8/19/1987,4,1.1,coho,female
1987,6,8/19/1987,2,1.1,coho,male
1987,6,8/19/1987,17,2.1,coho,female
1987,6,8/19/1987,5,2.1,coho,male
1987,6,8/19/1987,4,3.1,coho,female
1987,6,8/19/1987,2,3.1,coho,male
1987,6,8/28/1987,7,1.1,coho,female
1987,6,8/28/1987,2,1.1,coho,male
1987,6,8/28/1987,6,2.1,coho,female
1987,6,8/28/1987,5,2.1,coho,male
1987,6,8/28/1987,1,3.1,coho,female
1987,6,8/28/1987,2,3.1,coho,male
1988,6,7/29/1988,7,2.1,coho,female
1988,6,7/29/1988,25,2.1,coho,male
1988,6,7/29/1988,1,3.1,coho,female
1988,6,7/29/1988,2,3.1,coho,male
1988,6,8/2/1988,19,2.1,coho,female
1988,6,8/2/1988,28,2.1,coho,male
1988,6,8/2/1988,3,3.1,coho,female
1988,6,8/6/1988,25,2.1,coho,female
1988,6,8/6/1988,23,2.1,coho,male
1988,6,8/6/1988,2,3.1,coho,female
1988,6,8/6/1988,4,3.1,coho,male
1988,6,8/10/1988,28,2.1,coho,female
1988,6,8/10/1988,25,2.1,coho,male
1988,6,8/10/1988,1,3.1,coho,male
1988,6,8/13/1988,24,2.1,coho,female
1988,6,8/13/1988,28,2.1,coho,male
1988,6,8/13/1988,2,3.1,coho,female
1988,6,8/13/1988,1,3.1,coho,male
1989,6,7/26/1989,11,2.1,coho,female
1989,6,7/26/1989,20,2.1,coho,male
1989,6,7/26/1989,1,3.1,coho,male
1989,6,8/2/1989,23,2.1,coho,female
1989,6,8/2/1989,27,2.1,coho,male
1989,6,8/2/1989,4,3.1,coho,female
1989,6,8/5/1989,29,2.1,coho,female
1989,6,8/5/1989,32,2.1,coho,male
1989,6,8/5/1989,4,3.1,coho,female
1989,6,8/5/1989,5,3.1,coho,male
1990,6,7/27/1990,20,2.1,coho,female
1990,6,7/27/1990,17,2.1,coho,male
1990,6,7/31/1990,1,1.2,coho,male
1990,6,7/31/1990,16,2.1,coho,female
1990,6,7/31/1990,18,2.1,coho,male
1990,6,8/3/1990,17,2.1,coho,female
1990,6,8/3/1990,20,2.1,coho,male
1990,6,8/7/1990,1,1.1,coho,female
1990,6,8/7/1990,2,1.1,coho,male
1990,6,8/7/1990,16,2.1,coho,female
1990,6,8/7/1990,31,2.1,coho,male
1990,6,8/7/1990,3,3.1,coho,female
1990,6,8/7/1990,3,3.1,coho,male
1990,6,8/10/1990,13,2.1,coho,female
1990,6,8/10/1990,18,2.1,coho,male
1990,6,8/10/1990,1,2.2,coho,male
1990,6,8/10/1990,1,3.1,coho,female
1990,6,8/10/1990,2,3.1,coho,male
1990,6,8/14/1990,15,2.1,coho,female
1990,6,8/14/1990,16,2.1,coho,male
1990,6,8/14/1990,4,3.1,coho,female
1990,6,8/14/1990,1,3.1,coho,male
1990,6,8/17/1990,1,1.1,coho,male
1990,6,8/17/1990,12,2.1,coho,female
1990,6,8/17/1990,17,2.1,coho,male
1990,6,8/17/1990,1,3.1,coho,male
1990,6,8/21/1990,1,1.1,coho,female
1990,6,8/21/1990,1,1.1,coho,male
1990,6,8/21/1990,14,2.1,coho,female
1990,6,8/21/1990,16,2.1,coho,male
1991,6,8/6/1991,12,2.1,coho,female
1991,6,8/6/1991,18,2.1,coho,male
1991,6,8/6/1991,3,3.1,coho,female
1991,6,8/9/1991,1,1.1,coho,female
1991,6,8/9/1991,1,1.1,coho,male
1991,6,8/9/1991,14,2.1,coho,female
1991,6,8/9/1991,17,2.1,coho,male
1991,6,8/9/1991,1,3.1,coho,female
1991,6,8/9/1991,1,3.1,coho,male
1991,6,8/13/1991,1,1.1,coho,female
1991,6,8/13/1991,3,1.1,coho,male
1991,6,8/13/1991,16,2.1,coho,female
1991,6,8/13/1991,16,2.1,coho,male
1991,6,8/13/1991,1,3.1,coho,female
1991,6,8/16/1991,1,1.1,coho,female
1991,6,8/16/1991,19,2.1,coho,female
1991,6,8/16/1991,16,2.1,coho,male
1991,6,8/16/1991,2,3.1,coho,female
1992,6,7/28/1992,1,1.1,coho,female
1992,6,7/28/1992,7,1.1,coho,male
1992,6,7/28/1992,12,2.1,coho,female
1992,6,7/28/1992,12,2.1,coho,male
