year,julian.day,capture.loc,total.fish,M,F
2020,7/25/2020,6,40,20,20
2020,8/1/2020,6,233,116.5,116.5
2020,8/8/2020,6,749,374.5,374.5
2020,8/15/2020,6,728,364,364
2020,8/28/2020,6,391,195.5,195.5
2021,7/17/2021,6,9,4.95,4.05
2021,7/19/2021,6,11,6.05,4.95
2021,7/23/2021,6,21,11.55,9.45
2021,7/26/2021,6,12,6.6,5.4
2021,7/30/2021,6,55,30.25,24.75
2021,8/1/2021,6,23,12.65,10.35
2021,8/2/2021,6,166,91.3,74.7
2021,8/3/2021,6,304,167.2,136.8
2021,8/8/2021,6,457,244.495,212.505
2021,8/17/2021,6,407,211.64,195.36
2021,8/26/2021,6,669,384.675,284.325
2021,9/1/2021,6,298,156.45,141.55
2020,7/9/2020,5,1,0.6,0.4
2020,7/15/2020,5,1,0.6,0.4
2020,7/25/2020,5,46,27.6,18.4
2020,8/1/2020,5,76,45.6,30.4
2020,8/8/2020,5,518,310.8,207.2
2020,8/15/2020,5,590,354,236
2020,8/28/2020,5,413,247.8,165.2
2021,7/16/2021,5,8,6,2
2021,7/18/2021,5,1,0.75,0.25
2021,7/21/2021,5,5,3.75,1.25
2021,7/22/2021,5,50,37.5,12.5
2021,7/23/2021,5,18,13.5,4.5
2021,7/25/2021,5,40,30,10
2021,8/1/2021,5,7,5.25,1.75
2021,8/2/2021,5,90,67.5,22.5
2021,8/3/2021,5,436,327,109
2021,8/8/2021,5,804,522.6,281.4
2021,8/17/2021,5,652,358.6,293.4
2021,8/26/2021,5,355,166.85,188.15
2021,9/1/2021,5,127,50.8,76.2
