capture.loc,year,fish,species,julian.day,F,M
5,1985,1,coho,198,0.5,0.5
5,1985,1,coho,199,0.5,0.5
5,1985,2,coho,200,1,1
5,1985,2,coho,201,1,1
5,1985,1,coho,203,0.5,0.5
5,1985,8,coho,204,4,4
5,1985,1,coho,205,0.5,0.5
5,1985,6,coho,208,3,3
5,1985,11,coho,210,5.5,5.5
5,1985,90,coho,211,45,45
5,1985,95,coho,212,47.5,47.5
5,1985,82,coho,214,41,41
5,1985,89,coho,215,44.5,44.5
5,1985,26,coho,217,13,13
5,1985,74,coho,218,37,37
5,1985,4,coho,219,2,2
5,1985,316,coho,225,158,158
5,1985,241,coho,226,120.5,120.5
5,1985,538,coho,229,269,269
5,1985,56,coho,231,28,28
5,1985,255,coho,232,127.5,127.5
5,1985,110,coho,233,55,55
5,1985,89,coho,234,44.5,44.5
5,1985,618,coho,235,309,309
5,1985,92,coho,236,46,46
5,1986,1,coho,195,0.5,0.5
5,1986,2,coho,197,1,1
5,1986,31,coho,203,15.5,15.5
5,1986,25,coho,204,12.5,12.5
5,1986,109,coho,209,54.5,54.5
5,1986,79,coho,210,39.5,39.5
5,1986,18,coho,212,9,9
5,1986,18,coho,213,9,9
5,1986,414,coho,214,207,207
5,1986,247,coho,216,123.5,123.5
5,1986,198,coho,217,99,99
5,1986,256,coho,218,128,128
5,1986,446,coho,219,223,223
5,1986,795,coho,220,397.5,397.5
5,1986,1180,coho,221,590,590
5,1986,410,coho,223,205,205
5,1986,94,coho,224,47,47
5,1986,125,coho,226,62.5,62.5
5,1986,537,coho,227,268.5,268.5
5,1986,242,coho,228,121,121
5,1986,239,coho,230,119.5,119.5
5,1986,608,coho,231,304,304
5,1986,16,coho,232,8,8
5,1986,117,coho,233,58.5,58.5
5,1986,214,coho,234,107,107
5,1986,83,coho,235,41.5,41.5
5,1986,29,coho,236,14.5,14.5
5,1986,17,coho,237,8.5,8.5
5,1986,64,coho,238,32,32
5,1986,18,coho,239,9,9
5,1987,2,coho,198,1,1
5,1987,2,coho,199,1,1
5,1987,33,coho,208,16.5,16.5
5,1987,135,coho,209,67.5,67.5
5,1987,120,coho,210,60,60
5,1987,105,coho,215,52.5,52.5
5,1987,503,coho,216,251.5,251.5
5,1987,305,coho,217,152.5,152.5
5,1987,131,coho,218,65.5,65.5
5,1987,799,coho,219,399.5,399.5
5,1987,258,coho,220,129,129
5,1987,621,coho,222,310.5,310.5
5,1987,1039,coho,223,519.5,519.5
5,1987,437,coho,224,218.5,218.5
5,1987,105,coho,225,52.5,52.5
5,1987,690,coho,226,345,345
5,1987,401,coho,227,200.5,200.5
5,1987,108,coho,229,54,54
5,1987,242,coho,230,121,121
5,1987,158,coho,231,79,79
5,1988,1,coho,197,0.5,0.5
5,1988,2,coho,198,1,1
5,1988,2,coho,201,1,1
5,1988,4,coho,202,2,2
5,1988,3,coho,203,1.5,1.5
5,1988,6,coho,204,3,3
5,1988,1,coho,205,0.5,0.5
5,1988,7,coho,207,3.5,3.5
5,1988,8,coho,208,4,4
5,1988,2,coho,209,1,1
5,1988,23,coho,210,11.5,11.5
5,1988,175,coho,211,87.5,87.5
5,1988,111,coho,212,55.5,55.5
5,1988,39,coho,214,19.5,19.5
5,1988,254,coho,215,127,127
5,1988,201,coho,216,100.5,100.5
5,1988,44,coho,217,22,22
5,1988,263,coho,218,131.5,131.5
5,1988,145,coho,219,72.5,72.5
5,1988,121,coho,221,60.5,60.5
5,1988,542,coho,222,271,271
5,1988,209,coho,223,104.5,104.5
5,1988,17,coho,224,8.5,8.5
5,1988,547,coho,225,273.5,273.5
5,1988,10,coho,226,5,5
5,1988,259,coho,229,129.5,129.5
5,1988,357,coho,230,178.5,178.5
5,1988,111,coho,231,55.5,55.5
5,1988,384,coho,232,192,192
5,1988,249,coho,233,124.5,124.5
5,1988,285,coho,236,142.5,142.5
