capture.loc,year,fish,species,julian.day,F,M
5,2021,8,coho,197,4,4
5,2021,1,coho,199,0.5,0.5
5,2021,5,coho,202,2.5,2.5
5,2021,50,coho,203,25,25
5,2021,18,coho,204,9,9
5,2021,34,coho,206,17,17
5,2021,6,coho,206,3,3
5,2021,7,coho,213,3.5,3.5
5,2021,90,coho,214,45,45
5,2021,436,coho,215,218,218
5,2021,430,coho,220,215,215
5,2021,374,coho,220,187,187
5,2021,652,coho,229,326,326
5,2021,355,coho,238,177.5,177.5
5,2021,127,coho,244,63.5,63.5
6,2021,9,coho,197,4.5,4.5
6,2021,1,coho,197,0.5,0.5
6,2021,10,coho,200,5,5
6,2021,1,coho,200,0.5,0.5
6,2021,21,coho,204,10.5,10.5
6,2021,12,coho,207,6,6
6,2021,55,coho,211,27.5,27.5
6,2021,23,coho,213,11.5,11.5
6,2021,1,coho,213,0.5,0.5
6,2021,166,coho,214,83,83
6,2021,304,coho,215,152,152
6,2021,1,coho,215,0.5,0.5
6,2021,457,coho,220,228.5,228.5
6,2021,1,coho,220,0.5,0.5
6,2021,407,coho,229,203.5,203.5
6,2021,1,coho,229,0.5,0.5
6,2021,669,coho,238,334.5,334.5
6,2021,298,coho,244,149,149
6,2021,1,coho,244,0.5,0.5
5,2020,1,coho,191,0.5,0.5
5,2020,1,coho,197,0.5,0.5
5,2020,1,coho,198,0.5,0.5
5,2020,46,coho,207,23,23
5,2020,67,coho,214,33.5,33.5
5,2020,9,coho,214,4.5,4.5
5,2020,518,coho,221,259,259
5,2020,590,coho,228,295,295
5,2020,413,coho,241,206.5,206.5
6,2020,40,coho,207,20,20
6,2020,233,coho,214,116.5,116.5
6,2020,749,coho,221,374.5,374.5
6,2020,9,coho,221,4.5,4.5
6,2020,728,coho,228,364,364
6,2020,391,coho,241,195.5,195.5
6,2020,2,coho,241,1,1
