capture.loc,date,year,fish,species
5,17-Jul,1985,1,coho
5,18-Jul,1985,1,coho
5,19-Jul,1985,2,coho
5,20-Jul,1985,2,coho
5,22-Jul,1985,1,coho
5,23-Jul,1985,8,coho
5,24-Jul,1985,1,coho
5,27-Jul,1985,6,coho
5,29-Jul,1985,11,coho
5,30-Jul,1985,90,coho
5,31-Jul,1985,95,coho
5,2-Aug,1985,82,coho
5,3-Aug,1985,89,coho
5,5-Aug,1985,26,coho
5,6-Aug,1985,74,coho
5,7-Aug,1985,4,coho
5,13-Aug,1985,316,coho
5,14-Aug,1985,241,coho
5,17-Aug,1985,538,coho
5,19-Aug,1985,56,coho
5,20-Aug,1985,255,coho
5,21-Aug,1985,110,coho
5,22-Aug,1985,89,coho
5,23-Aug,1985,618,coho
5,24-Aug,1985,92,coho
6,15-Jul,1985,1,coho
6,16-Jul,1985,1,coho
6,17-Jul,1985,3,coho
6,19-Jul,1985,6,coho
6,20-Jul,1985,9,coho
6,22-Jul,1985,6,coho
6,23-Jul,1985,20,coho
6,24-Jul,1985,19,coho
6,25-Jul,1985,8,coho
6,26-Jul,1985,109,coho
6,27-Jul,1985,161,coho
6,29-Jul,1985,121,coho
6,30-Jul,1985,182,coho
6,31-Jul,1985,265,coho
6,1-Aug,1985,66,coho
6,2-Aug,1985,390,coho
6,3-Aug,1985,573,coho
6,5-Aug,1985,326,coho
6,6-Aug,1985,689,coho
6,7-Aug,1985,687,coho
6,8-Aug,1985,44,coho
6,9-Aug,1985,799,coho
6,10-Aug,1985,617,coho
6,12-Aug,1985,462,coho
6,13-Aug,1985,665,coho
6,14-Aug,1985,342,coho
6,15-Aug,1985,690,coho
6,16-Aug,1985,997,coho
6,17-Aug,1985,1001,coho
6,19-Aug,1985,401,coho
6,20-Aug,1985,452,coho
6,21-Aug,1985,975,coho
6,22-Aug,1985,65,coho
6,23-Aug,1985,1046,coho
6,24-Aug,1985,560,coho
6,26-Aug,1985,274,coho
6,27-Aug,1985,1051,coho
6,29-Aug,1985,262,coho
6,30-Aug,1985,537,coho
6,3-Sep,1985,365,coho
6,5-Sep,1985,7,coho
6,6-Sep,1985,167,coho
5,14-Jul,1986,1,coho
5,16-Jul,1986,2,coho
5,22-Jul,1986,31,coho
5,23-Jul,1986,25,coho
5,28-Jul,1986,109,coho
5,29-Jul,1986,79,coho
5,31-Jul,1986,18,coho
5,1-Aug,1986,18,coho
5,2-Aug,1986,414,coho
5,4-Aug,1986,247,coho
5,5-Aug,1986,198,coho
5,6-Aug,1986,256,coho
5,7-Aug,1986,446,coho
5,8-Aug,1986,795,coho
5,9-Aug,1986,1180,coho
5,11-Aug,1986,410,coho
5,12-Aug,1986,94,coho
5,14-Aug,1986,125,coho
5,15-Aug,1986,537,coho
5,16-Aug,1986,242,coho
5,18-Aug,1986,239,coho
5,19-Aug,1986,608,coho
5,20-Aug,1986,16,coho
5,21-Aug,1986,117,coho
5,22-Aug,1986,214,coho
5,23-Aug,1986,83,coho
5,24-Aug,1986,29,coho
5,25-Aug,1986,17,coho
5,26-Aug,1986,64,coho
5,27-Aug,1986,18,coho
6,15-Jul,1986,7,coho
6,16-Jul,1986,3,coho
6,17-Jul,1986,4,coho
6,18-Jul,1986,12,coho
6,19-Jul,1986,3,coho
6,21-Jul,1986,42,coho
6,22-Jul,1986,97,coho
6,23-Jul,1986,29,coho
6,24-Jul,1986,15,coho
6,25-Jul,1986,209,coho
6,26-Jul,1986,118,coho
6,28-Jul,1986,302,coho
6,29-Jul,1986,132,coho
6,30-Jul,1986,169,coho
6,31-Jul,1986,66,coho
6,1-Aug,1986,704,coho
6,2-Aug,1986,344,coho
6,4-Aug,1986,417,coho
6,5-Aug,1986,1081,coho
6,6-Aug,1986,625,coho
6,7-Aug,1986,855,coho
6,8-Aug,1986,1752,coho
6,9-Aug,1986,633,coho
6,11-Aug,1986,465,coho
6,12-Aug,1986,1532,coho
6,13-Aug,1986,1270,coho
6,14-Aug,1986,416,coho
6,15-Aug,1986,1727,coho
6,16-Aug,1986,705,coho
6,18-Aug,1986,350,coho
6,19-Aug,1986,1395,coho
6,20-Aug,1986,770,coho
6,21-Aug,1986,573,coho
6,22-Aug,1986,113,coho
6,23-Aug,1986,311,coho
6,24-Aug,1986,673,coho
6,25-Aug,1986,48,coho
6,26-Aug,1986,423,coho
6,27-Aug,1986,583,coho
6,28-Aug,1986,162,coho
6,29-Aug,1986,485,coho
6,30-Aug,1986,237,coho
6,31-Aug,1986,42,coho
6,1-Sep,1986,41,coho
6,2-Sep,1986,64,coho
6,3-Sep,1986,115,coho
6,4-Sep,1986,5,coho
6,5-Sep,1986,195,coho
6,6-Sep,1986,89,coho
6,7-Sep,1986,172,coho
5,17-Jul,1987,2,coho
5,18-Jul,1987,2,coho
5,27-Jul,1987,33,coho
5,28-Jul,1987,135,coho
5,29-Jul,1987,120,coho
5,3-Aug,1987,105,coho
5,4-Aug,1987,503,coho
5,5-Aug,1987,305,coho
5,6-Aug,1987,131,coho
5,7-Aug,1987,799,coho
5,8-Aug,1987,258,coho
5,10-Aug,1987,621,coho
5,11-Aug,1987,1039,coho
5,12-Aug,1987,437,coho
5,13-Aug,1987,105,coho
5,14-Aug,1987,690,coho
5,15-Aug,1987,401,coho
5,17-Aug,1987,108,coho
5,18-Aug,1987,242,coho
5,19-Aug,1987,158,coho
6,15-Jul,1987,1,coho
6,16-Jul,1987,1,coho
6,27-Jul,1987,44,coho
6,28-Jul,1987,161,coho
6,29-Jul,1987,74,coho
6,3-Aug,1987,288,coho
6,4-Aug,1987,584,coho
6,5-Aug,1987,206,coho
6,6-Aug,1987,965,coho
6,7-Aug,1987,54,coho
6,8-Aug,1987,1810,coho
6,10-Aug,1987,525,coho
6,11-Aug,1987,395,coho
6,12-Aug,1987,784,coho
6,13-Aug,1987,658,coho
6,14-Aug,1987,1675,coho
6,15-Aug,1987,1371,coho
6,17-Aug,1987,467,coho
6,18-Aug,1987,1209,coho
6,19-Aug,1987,708,coho
6,24-Aug,1987,256,coho
6,25-Aug,1987,809,coho
6,26-Aug,1987,182,coho
6,27-Aug,1987,446,coho
6,28-Aug,1987,561,coho
6,1-Sep,1987,293,coho
6,3-Sep,1987,305,coho
6,4-Sep,1987,296,coho
5,15-Jul,1988,1,coho
5,16-Jul,1988,2,coho
5,19-Jul,1988,2,coho
5,20-Jul,1988,4,coho
5,21-Jul,1988,3,coho
5,22-Jul,1988,6,coho
5,23-Jul,1988,1,coho
5,25-Jul,1988,7,coho
5,26-Jul,1988,8,coho
5,27-Jul,1988,2,coho
5,28-Jul,1988,23,coho
5,29-Jul,1988,175,coho
5,30-Jul,1988,111,coho
